"","Division Code","division_cost"
"1","100F",4435972.9251747
"2","250F",4545806.3896769
"3","300F",5979346.2436566
"4","400F",7667968.1673564
"5","460F",1867661.8878294
"6","500F",13865354.4311391
"7","600F",11624825.6544898
"8","700F",2151737.1359706
"9","730F",2993876.4239502
"10","750S",2726963.2508534
"11","ADVD",162605.2687616
"12","AFFF",1918366.9758356
"13","CSDD",4265169.8896277
"14","ISRG",2798383.2178308
"15","MULTI",2701239.4670057
"16","PROPERTY P'FOLIO",8151364.0449601
"17","SHARED INFRA",7360832.2471318
"18","UNIG",6885116.3699507
"19","USDD",14052158.7876068
