,Building Code,Room Code,Room Capacity,Room Category,Space Quality,Room Area m²,RIV_rate,age,Assessment Condition Rating
1,101,101,NA,6,Fair,383.51,3431.51843084207,63,4
2,101,102,1,1,Fair,10.89,3431.51843084207,63,4
3,101,103,NA,4,Fair,8.83,3431.51843084207,63,4
4,101,104,1,1,Fair,10.67,3431.51843084207,63,4
5,101,106,1,1,Fair,33.67,3431.51843084207,63,4
6,101,107,1,1,Fair,35.31,3431.51843084207,63,4
7,101,201,0,4,Fair,10.89,3431.51843084207,63,3.71428571428571
8,101,202,1,1,Fair,10.66,3431.51843084207,63,3.71428571428571
9,101,B01,NA,8,Fair,242.14,3431.51843084207,63,NA
10,101,B02,NA,8,Fair,20.61,3431.51843084207,63,4
11,101,B03,NA,8,Fair,19.38,3431.51843084207,63,NA
12,101,B04,NA,4,Fair,48.28,3431.51843084207,63,NA
13,101,B05,NA,8,Fair,13.07,3431.51843084207,63,NA
14,101,C1M01,0,6,Fair,10.85,3431.51843084207,63,4
15,101,C201,NA,6,Fair,5.79,3431.51843084207,63,4
16,101,C202,NA,6,Fair,5.77,3431.51843084207,63,4
17,101,C203,NA,6,Fair,23.87,3431.51843084207,63,NA
18,101,CB01,NA,8,Fair,160.63,3431.51843084207,63,4
19,101,CG01,NA,6,Fair,80.62,3431.51843084207,63,3.85714285714286
20,101,CG02,NA,8,Fair,12,3431.51843084207,63,3.85714285714286
21,101,CG03,NA,6,Fair,14.12,3431.51843084207,63,4
22,101,CG04,NA,8,Fair,11.01,3431.51843084207,63,4
23,101,G02,NA,6,Fair,57.35,3431.51843084207,63,3.85714285714286
24,101,G03,1,1,Fair,12.27,3431.51843084207,63,3.71428571428571
25,101,G04,NA,4,Fair,23.71,3431.51843084207,63,3.85714285714286
26,101,G05,NA,8,Fair,2.18,3431.51843084207,63,4
27,101,G07,NA,8,Fair,16.48,3431.51843084207,63,3.71428571428571
28,101,G07A,NA,8,Fair,0.46,3431.51843084207,63,4
29,101,G07B,NA,8,Fair,0.78,3431.51843084207,63,4
30,101,G08,NA,8,Fair,2.06,3431.51843084207,63,4
31,101,G09,NA,8,Fair,5.3,3431.51843084207,63,4
32,101,G10,NA,8,Fair,93.94,3431.51843084207,63,4
33,101,G12,NA,4,Fair,1.18,3431.51843084207,63,4
34,101,G14,1,1,Fair,8.04,3431.51843084207,63,3.57142857142857
35,101,G15,NA,6,Fair,528.19,3431.51843084207,63,4
36,101,G16,NA,8,Fair,142.84,3431.51843084207,63,4
37,101,G17,NA,8,Fair,3.07,3431.51843084207,63,4
38,101,G18,NA,8,Fair,4.75,3431.51843084207,63,4
