"","Division Code","division_cost","proportion"
"1" "100F" 4435972.9251747 -27.86%
"2" "250F" 4545806.3896769 -27.10%
"3" "300F" 5979346.2436566 5.20%
"4" "400F" 7667968.1673564 11.59%
"5" "460F" 1867661.8878294 13.76%
"6" "500F" 13865354.4311391 8.48%
"7" "600F" 11624825.6544898 7.41%
"8" "700F" 2151737.1359706 6.87%
"9" "730F" 2993876.4239502 6.62%
"10" "750S" 2726963.2508534 -82.53%
"11" "ADVD" 162605.2687616 -3.46%
"12" "AFFF" 1918366.9758356 6.72%
"13" "CSDD" 4265169.8896277 -18.13%
"14" "ISRG" 2798383.2178308 7.07%
"15" "MULTI" 2701239.4670057 -5.94%
"16" "PROPERTY P'FOLIO" 8151364.0449601 11.40%
"17" "SHARED INFRA" 7360832.2471318 -2.56%
"18" "UNIG" 6885116.3699507 0.71%
"19" "USDD" 14052158.7876068 4.98%
