Original class	New class
Fair	1
Fair	2
Fair	0
Fair	2
Fair	2
Fair	2
Fair	1
Fair	2
Fair	1
Fair	1
Fair	1
Fair	0
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	2
Fair	0
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	0
Fair	2
Fair	1
Fair	1
Fair	1
Fair	1
Fair	0
Fair	1
Fair	0
Fair	1
Fair	2
Fair	1
Fair	0
Fair	0
Fair	0
Fair	0
Fair	0
Fair	0
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Fair	1
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
Very Good	4
